Re,Ar,Lm,Theta
797,0,16.88,50.2
1055,0,12.33,47.5
1139,0,11.32,46.62
1307,0,9.7,46
1816,0,6.7,44
1981,0,6.1,43.5
2258,0,5.26,41.99
2592,0,4.51,41.5
2666,0,4.4,41.2
2897,0,3.98,40.5
3082,0,3.7,38.4
3434,0,3.3,37.56
4362,0,2.52,35.64
800,0,16.5,50.1
1050,0,11.5,47.5
1400,0,7,45.6
1800,0,5.3,44
2000,0,3.5,42.66
1600,0,7.5,45.2
3002.3,0,4,38.5
987.7,0,10.6,48.2
955.3,0,14.65,48.6
717.5,0,19.1,50.2
1739.3,0,6.9,44
1050,0,11.6,47.5
3446.3,0,3.3,37.5
4045.2,0,2.5,36
2732.1,0,5.9,40.8
1303.3,0,8.7,46
820,0,15.6,50.2
900,0,18,49.5
1980,0,8.56,42.7
1139,0,12.3,46.62
2666,0,6.92,41.2
3434.8,0,3.9,37.56
4362,0,2.87,35.64
820.3,0,13.5,50.2
797.3,0,13.7,50.1
638.3,0,18.3,50.28
2897,0,3.9787,40.5
3082,0,3.7122,38.4
3434,0,3.2887,37.56
4362,0,2.5158,35.64
5818,0,1.8221,27.22
7015,0,1.4776,24.5
8524,0,1.188,23.98
9232,0,1.0864,25.2
10170,0,0.9748,26.1
12590,0,0.7675,26.57
14500,0,0.6552,24.8
11900,0,0.5,28.14
2649,100,8.1,36.2
6857,100.7,2.2,24.91
1463,115,9.375,38.22
1199,432,16.27,34
6119,432.1,2.8,26.65
11130,432.1,0.6,26.16
9500,432.2,1.2,22.8
1199,450,11.5,33.92
2796,450,5.6,29.8
6119,450,2.8,27.16
11130,450,0.8,26.16
2796,494,2,31
2796,494.2,4.9,26.8
9800,1142,1,24.59
1684,1146,10.9,31.11
4525,1147,3.8,27.7
13600,1312,0.6,26.74
1044,3069,17,34.6
9050,3647,1.3,26.4
10770,3647,0.8,26.82
7130,3661,2.5,23.45
2664,4029,7.5,27.6
2386,7200,6.4,28.52
7889,8158,2.1,21.67
8212,9331,1.5,21.84
7800,15700,2.6,23.8
8900,15700,1.6,25.3
12250,15710,0.5,23.4
5632,23120,5.2,23.61
4437,23120,6.8,26.5
2401,23120,9.1,28.1
1481,35006,14,27.97
3028,35006,7.5,23.6
4547,35006,4.6,23.18
12800,35006,2,22.91
12800,35010,0.9,22.61
2292,40120,8.2,27.21
5592,41700,3.3,23.93
8100,41700,2.1,27.9
10250,41700,1.2,27.34
13230,47700,0.6,22.7
7263,92920,2.8,24.08
5877,98710,5,23.45
5632,249000,4.6,23.2
13310,249000,0.5,25.65
3773,296450,7.3,19.3
7500,583200,3.5,17.72
